#tau,             sim_time,         sim_time_stDev,   exit_time,        exit_time_stDev,  N*,               det_rate_ratio,   thickness,        thick_stDev,      n_deaths,         n_detachments,    n_immigrations,   n_replications,   n_tau_halves      
2.0000E-01,       7.3060E+06,       2.9462E+05,       2.1793E+02,       5.1654E+01,       7.2500E-01,       1.8260E-02,       2.0950E+01,       2.2361E-01,       1.6266E+04,       1.1658E+03,       4.5975E+03,       2.1520E+04,       1.0315E+02        
2.0000E-01,       7.7967E+06,       2.6379E+05,       1.2809E+02,       1.1894E+02,       7.2500E-01,       2.1580E-02,       2.0500E+01,       6.0698E-01,       1.6567E+04,       1.4423E+03,       4.7301E+03,       2.1873E+04,       1.0540E+02        
2.0000E-01,       7.8947E+06,       3.6385E+05,       8.2937E+01,       1.1597E+02,       7.2500E-01,       2.4900E-02,       2.0050E+01,       8.8704E-01,       1.6523E+04,       1.6932E+03,       4.7847E+03,       2.1871E+04,       1.0850E+02        
2.0000E-01,       7.2548E+06,       4.0298E+05,       1.1799E+01,       5.2767E+01,       7.2500E-01,       2.8220E-02,       1.9300E+01,       6.5695E-01,       1.6124E+04,       1.9098E+03,       4.7997E+03,       2.1454E+04,       1.0550E+02        
2.0000E-01,       6.5154E+06,       3.0561E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       3.1540E-02,       1.8400E+01,       7.5394E-01,       1.5074E+04,       2.1812E+03,       4.8062E+03,       2.0282E+04,       1.0530E+02        
2.0000E-01,       5.8903E+06,       4.1120E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       3.4860E-02,       1.7600E+01,       5.9824E-01,       1.4333E+04,       2.4080E+03,       4.7987E+03,       1.9364E+04,       9.9050E+01        
2.0000E-01,       5.3141E+06,       4.6201E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       3.8180E-02,       1.6300E+01,       9.7872E-01,       1.3333E+04,       2.6782E+03,       4.7910E+03,       1.8184E+04,       9.2400E+01        
2.0000E-01,       4.8501E+06,       3.6260E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       4.1500E-02,       1.5650E+01,       6.7082E-01,       1.2582E+04,       2.9248E+03,       4.8206E+03,       1.7279E+04,       9.0700E+01        
2.0000E-01,       4.4222E+06,       2.7850E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       4.4820E-02,       1.4700E+01,       4.7016E-01,       1.1916E+04,       3.1549E+03,       4.7995E+03,       1.6515E+04,       8.9150E+01        
2.0000E-01,       3.9063E+06,       3.9068E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       4.8140E-02,       1.3600E+01,       8.2078E-01,       1.0976E+04,       3.3979E+03,       4.8264E+03,       1.5377E+04,       8.3100E+01        
2.0000E-01,       3.1432E+06,       4.1735E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       5.1460E-02,       1.2300E+01,       9.2338E-01,       9.6033E+03,       3.6933E+03,       4.7911E+03,       1.3725E+04,       7.9100E+01        
2.0000E-01,       2.9684E+06,       2.2544E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       5.4780E-02,       1.1850E+01,       7.4516E-01,       9.2129E+03,       3.9084E+03,       4.8266E+03,       1.3345E+04,       7.4600E+01        
2.0000E-01,       2.1701E+06,       3.9528E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       5.8100E-02,       9.9000E+00,       1.1192E+00,       7.5597E+03,       4.2417E+03,       4.7853E+03,       1.1262E+04,       6.4250E+01        
2.0000E-01,       1.2657E+06,       6.3979E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       6.1420E-02,       7.3000E+00,       2.5772E+00,       5.3381E+03,       4.5704E+03,       4.7811E+03,       8.2750E+03,       5.2600E+01        
2.0000E-01,       7.1945E+05,       6.1927E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       6.4740E-02,       4.9000E+00,       2.8819E+00,       3.7959E+03,       4.9162E+03,       4.7831E+03,       6.1256E+03,       3.7850E+01        
2.0000E-01,       1.3718E+05,       2.6271E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       6.8060E-02,       9.5000E-01,       1.7614E+00,       1.8419E+03,       5.3635E+03,       4.7761E+03,       3.1343E+03,       1.5850E+01        
2.0000E-01,       8.2268E+04,       1.2070E+05,       0.0000E+00,       0.0000E+00,       7.2500E-01,       7.1380E-02,       5.5000E-01,       1.1459E+00,       1.6206E+03,       5.5002E+03,       4.8089E+03,       2.8619E+03,       1.2750E+01        
